AENJPLPP_00005	K02483
AENJPLPP_00574	K10547
AENJPLPP_00575	K10548
AENJPLPP_00576	K10546
AENJPLPP_00577	K02058
AENJPLPP_00578	K07718
AENJPLPP_00579	K07720
AENJPLPP_00581	K01945
AENJPLPP_00582	K00602
AENJPLPP_00583	K11175
AENJPLPP_00584	K01933
AENJPLPP_00585	K00764
AENJPLPP_00586	K01952
AENJPLPP_00587	K01952
AENJPLPP_00588	K01952
AENJPLPP_00589	K01923
AENJPLPP_00591	K01756
AENJPLPP_00592	K01589
AENJPLPP_00593	K01588
AENJPLPP_00594	K03458
AENJPLPP_00594	K16169
AENJPLPP_00595	K03816
AENJPLPP_00598	K02026
AENJPLPP_00599	K02025
AENJPLPP_00600	K02027
AENJPLPP_00602	K01185
AENJPLPP_00602	K01227
AENJPLPP_00603	K07260
AENJPLPP_00608	K07192
AENJPLPP_00610	K02476
AENJPLPP_00610	K11614
AENJPLPP_00611	K02476
AENJPLPP_00611	K11614
AENJPLPP_00612	K02475
AENJPLPP_00612	K11615
AENJPLPP_00613	K03778
AENJPLPP_00614	K07088
AENJPLPP_00615	K01443
AENJPLPP_00617	K14260
AENJPLPP_00622	K07493
AENJPLPP_00624	K11210
AENJPLPP_00624	K21252
AENJPLPP_00628	K03424
AENJPLPP_00631	K02050
AENJPLPP_00632	K00383
AENJPLPP_00633	K05847
AENJPLPP_00634	K05847
AENJPLPP_00635	K05845
AENJPLPP_00635	K05846
AENJPLPP_00640	K06889
AENJPLPP_00645	K15986
AENJPLPP_00646	K04069
AENJPLPP_00647	K00656
AENJPLPP_00648	K02621
AENJPLPP_00649	K02622
AENJPLPP_00650	K06929
AENJPLPP_00651	K08591
AENJPLPP_00653	K03706
AENJPLPP_00654	K03667
AENJPLPP_00655	K01419
AENJPLPP_00656	K03733
AENJPLPP_00656	K04763
AENJPLPP_00657	K04094
AENJPLPP_00658	K03168
AENJPLPP_00659	K04096
AENJPLPP_00660	K03470
AENJPLPP_00661	K14540
AENJPLPP_00662	K02028
AENJPLPP_00662	K07032
AENJPLPP_00664	K03100
AENJPLPP_00666	K07304
AENJPLPP_00670	K11068
AENJPLPP_00671	K00287
AENJPLPP_00672	K00560
AENJPLPP_00673	K15738
AENJPLPP_00674	K03316
AENJPLPP_00677	K00974
AENJPLPP_00683	K03530
AENJPLPP_00684	K03977
AENJPLPP_00685	K02945
AENJPLPP_00686	K00945
AENJPLPP_00688	K03654
AENJPLPP_00689	K01783
AENJPLPP_00690	K05337
AENJPLPP_00695	K06178
AENJPLPP_00696	K06024
AENJPLPP_00697	K05896
AENJPLPP_00698	K02859
AENJPLPP_00699	K04763
AENJPLPP_00701	K03711
AENJPLPP_00702	K00243
AENJPLPP_00703	K20073
AENJPLPP_00705	K03086
AENJPLPP_00706	K02316
AENJPLPP_00707	K12952
AENJPLPP_00708	K08974
AENJPLPP_00710	K00433
AENJPLPP_00711	K14205
AENJPLPP_00712	K02358
AENJPLPP_00712	K15771
AENJPLPP_00718	K00054
AENJPLPP_00718	K00626
AENJPLPP_00719	K00054
AENJPLPP_00719	K00626
AENJPLPP_00720	K01641
AENJPLPP_00722	K01537
AENJPLPP_00723	K06131
AENJPLPP_00724	K00941
AENJPLPP_00726	K00537
AENJPLPP_00726	K16509
AENJPLPP_00728	K10947
AENJPLPP_00730	K01223
AENJPLPP_00730	K05350
AENJPLPP_00731	K02761
AENJPLPP_00732	K03492
AENJPLPP_00733	K15975
AENJPLPP_00734	K06999
AENJPLPP_00735	K01628
AENJPLPP_00737	K02775
AENJPLPP_00738	K02774
AENJPLPP_00739	K02773
AENJPLPP_00740	K02530
AENJPLPP_00741	K00917
AENJPLPP_00742	K06889
AENJPLPP_00745	K03741
AENJPLPP_00746	K02538
AENJPLPP_00746	K03491
AENJPLPP_00747	K02768
AENJPLPP_00747	K02769
AENJPLPP_00747	K02770
AENJPLPP_00748	K02768
AENJPLPP_00748	K02769
AENJPLPP_00748	K02770
AENJPLPP_00749	K17463
AENJPLPP_00750	K01042
AENJPLPP_00751	K01465
AENJPLPP_00763	K03077
AENJPLPP_00764	K03079
AENJPLPP_00765	K03078
AENJPLPP_00765	K08093
AENJPLPP_00766	K02822
AENJPLPP_00767	K03475
AENJPLPP_00768	K02821
AENJPLPP_00769	K03476
AENJPLPP_00772	K11055
AENJPLPP_00774	K02761
AENJPLPP_00775	K02777
AENJPLPP_00775	K20107
AENJPLPP_00775	K20108
AENJPLPP_00776	K01222
AENJPLPP_00776	K01232
AENJPLPP_00777	K02803
AENJPLPP_00777	K02804
AENJPLPP_00777	K20116
AENJPLPP_00777	K20117
AENJPLPP_00777	K20118
AENJPLPP_00778	K03478
AENJPLPP_00779	K03488
AENJPLPP_00796	K18940
AENJPLPP_00798	K00033
AENJPLPP_00799	K02911
AENJPLPP_00800	K07040
AENJPLPP_00802	K00873
AENJPLPP_00803	K00850
AENJPLPP_00804	K02337
AENJPLPP_00806	K08161
AENJPLPP_00808	K06901
AENJPLPP_00809	K21064
AENJPLPP_00811	K00687
AENJPLPP_00811	K12553
AENJPLPP_00811	K21465
AENJPLPP_00811	K21466
AENJPLPP_00813	K01868
AENJPLPP_00814	K01821
AENJPLPP_00816	K03657
AENJPLPP_00822	K09710
AENJPLPP_00824	K00969
AENJPLPP_00825	K07574
AENJPLPP_00826	K06948
AENJPLPP_00827	K07015
AENJPLPP_00828	K01962
AENJPLPP_00829	K01963
AENJPLPP_00830	K01961
AENJPLPP_00831	K02372
AENJPLPP_00832	K02160
AENJPLPP_00833	K09458
AENJPLPP_00834	K00059
AENJPLPP_00835	K00645
AENJPLPP_00835	K15327
AENJPLPP_00835	K15329
AENJPLPP_00836	K02078
AENJPLPP_00837	K00648
AENJPLPP_00839	K03703
AENJPLPP_00841	K00020
AENJPLPP_00842	K19002
AENJPLPP_00843	K13677
AENJPLPP_00844	K08483
AENJPLPP_00845	K11189
AENJPLPP_00846	K03697
AENJPLPP_00849	K02837
AENJPLPP_00850	K03699
AENJPLPP_00853	K07586
AENJPLPP_00854	K03575
AENJPLPP_00855	K03565
AENJPLPP_00856	K00557
AENJPLPP_00856	K03215
AENJPLPP_00857	K21713
AENJPLPP_00858	K05770
AENJPLPP_00860	K03704
AENJPLPP_00861	K04564
AENJPLPP_00863	K16264
AENJPLPP_00865	K00058
AENJPLPP_00867	K07484
AENJPLPP_00870	K03499
AENJPLPP_00871	K07694
AENJPLPP_00871	K11618
AENJPLPP_00872	K07681
AENJPLPP_00872	K11617
AENJPLPP_00873	K11622
AENJPLPP_00874	K03624
AENJPLPP_00875	K07082
AENJPLPP_00878	K01784
AENJPLPP_00878	K17947
AENJPLPP_00885	K01710
AENJPLPP_00886	K00991
AENJPLPP_00887	K07271
AENJPLPP_00888	K07271
AENJPLPP_00893	K20444
AENJPLPP_00894	K20444
AENJPLPP_00895	K01990
AENJPLPP_00895	K09691
AENJPLPP_00895	K09693
AENJPLPP_00896	K09692
AENJPLPP_00899	K00067
AENJPLPP_00900	K01710
AENJPLPP_00901	K01790
AENJPLPP_00902	K00973
AENJPLPP_00905	K07011
AENJPLPP_00906	K02851
AENJPLPP_00907	K07058
AENJPLPP_00908	K01265
AENJPLPP_00911	K19689
AENJPLPP_00916	K07483
AENJPLPP_00918	K07483
AENJPLPP_00920	K01447
AENJPLPP_00948	K07474
AENJPLPP_00950	K09946
AENJPLPP_00977	K07741
AENJPLPP_00986	K04077
AENJPLPP_00987	K04078
AENJPLPP_00988	K07052
AENJPLPP_00989	K02761
AENJPLPP_00990	K07118
AENJPLPP_00991	K00784
AENJPLPP_00994	K07652
AENJPLPP_00995	K07668
AENJPLPP_01004	K02001
AENJPLPP_01004	K02002
AENJPLPP_01005	K02000
AENJPLPP_01008	K04759
AENJPLPP_01009	K04758
AENJPLPP_01010	K06191
AENJPLPP_01011	K00525
AENJPLPP_01012	K00526
AENJPLPP_01014	K07507
AENJPLPP_01015	K02564
AENJPLPP_01020	K02935
AENJPLPP_01021	K02864
AENJPLPP_01022	K02863
AENJPLPP_01023	K02867
AENJPLPP_01024	K01752
AENJPLPP_01025	K01752
AENJPLPP_01026	K00467
AENJPLPP_01026	K10530
AENJPLPP_01028	K02601
AENJPLPP_01029	K03073
AENJPLPP_01030	K02913
AENJPLPP_01034	K01992
AENJPLPP_01035	K01992
AENJPLPP_01036	K01990
AENJPLPP_01040	K03581
AENJPLPP_01042	K03216
AENJPLPP_01043	K00563
AENJPLPP_01043	K10947
AENJPLPP_01044	K06201
AENJPLPP_01045	K06213
AENJPLPP_01046	K06177
AENJPLPP_01046	K06180
AENJPLPP_01047	K00858
AENJPLPP_01048	K07816
AENJPLPP_01053	K08602
AENJPLPP_01054	K06198
AENJPLPP_01055	K16511
AENJPLPP_01056	K16509
AENJPLPP_01057	K07025
AENJPLPP_01059	K03546
AENJPLPP_01060	K03546
AENJPLPP_01061	K03547
AENJPLPP_01062	K00655
AENJPLPP_01063	K07461
AENJPLPP_01063	K15460
AENJPLPP_01064	K07461
AENJPLPP_01067	K01876
AENJPLPP_01068	K01892
AENJPLPP_01069	K06607
AENJPLPP_01070	K15629
AENJPLPP_01071	K07560
AENJPLPP_01072	K00951
AENJPLPP_01073	K09761
AENJPLPP_01074	K02687
AENJPLPP_01076	K03652
AENJPLPP_01077	K07478
AENJPLPP_01082	K00925
AENJPLPP_01083	K00571
AENJPLPP_01085	K02248
AENJPLPP_01087	K02246
AENJPLPP_01088	K02245
AENJPLPP_01089	K02244
AENJPLPP_01090	K02243
AENJPLPP_01091	K01486
AENJPLPP_01092	K03439
AENJPLPP_01094	K01992
AENJPLPP_01095	K01990
AENJPLPP_01096	K02503
AENJPLPP_01098	K07533
AENJPLPP_01099	K03698
AENJPLPP_01101	K03547
AENJPLPP_01104	K03292
AENJPLPP_01105	K01198
AENJPLPP_01107	K01051
AENJPLPP_01110	K15532
AENJPLPP_01111	K17318
AENJPLPP_01113	K17319
AENJPLPP_01114	K17320
AENJPLPP_01115	K17320
AENJPLPP_01117	K02529
AENJPLPP_01118	K00041
AENJPLPP_01119	K01685
AENJPLPP_01119	K01708
AENJPLPP_01120	K01812
AENJPLPP_01123	K06147
AENJPLPP_01125	K12555
AENJPLPP_01126	K06177
AENJPLPP_01126	K06180
AENJPLPP_01127	K00847
AENJPLPP_01128	K01191
AENJPLPP_01128	K16869
AENJPLPP_01129	K09704
AENJPLPP_01132	K07720
AENJPLPP_01133	K07718
AENJPLPP_01135	K17318
AENJPLPP_01136	K17320
AENJPLPP_01137	K17319
AENJPLPP_01138	K06183
AENJPLPP_01139	K03328
AENJPLPP_01141	K01928
AENJPLPP_01141	K05362
AENJPLPP_01142	K02761
AENJPLPP_01144	K02759
AENJPLPP_01145	K03491
AENJPLPP_01146	K02760
AENJPLPP_01153	K06147
AENJPLPP_01154	K06147
AENJPLPP_01156	K01869
AENJPLPP_01157	K02395
AENJPLPP_01157	K19220
AENJPLPP_01157	K19223
AENJPLPP_01158	K19302
AENJPLPP_01159	K07139
AENJPLPP_01161	K18892
AENJPLPP_01162	K06147
AENJPLPP_01162	K18891
AENJPLPP_01163	K18476
AENJPLPP_01164	K03930
AENJPLPP_01165	K18935
AENJPLPP_01167	K00789
AENJPLPP_01195	K04567
AENJPLPP_01196	K05540
AENJPLPP_01197	K04083
AENJPLPP_01198	K03798
AENJPLPP_01199	K00760
AENJPLPP_01199	K15780
AENJPLPP_01200	K04075
AENJPLPP_01200	K15780
AENJPLPP_01201	K07571
AENJPLPP_01202	K13052
AENJPLPP_01204	K03328
AENJPLPP_01205	K03723
AENJPLPP_01206	K01056
AENJPLPP_01207	K00016
AENJPLPP_01212	K19224
AENJPLPP_01212	K21471
AENJPLPP_01213	K03571
AENJPLPP_01214	K03570
AENJPLPP_01215	K00949
AENJPLPP_01216	K01783
AENJPLPP_01217	K06949
AENJPLPP_01218	K08884
AENJPLPP_01218	K12132
AENJPLPP_01219	K20074
AENJPLPP_01220	K03500
AENJPLPP_01221	K00604
AENJPLPP_01222	K01462
AENJPLPP_01223	K04066
AENJPLPP_01224	K03060
AENJPLPP_01225	K00942
AENJPLPP_01229	K07001
AENJPLPP_01231	K16789
AENJPLPP_01232	K00948
AENJPLPP_01233	K04042
AENJPLPP_01234	K09685
AENJPLPP_01235	K09816
AENJPLPP_01236	K02074
AENJPLPP_01236	K09817
AENJPLPP_01237	K09815
AENJPLPP_01238	K00919
AENJPLPP_01238	K16924
AENJPLPP_01239	K14205
AENJPLPP_01240	K00286
AENJPLPP_01241	K18682
AENJPLPP_01242	K03553
AENJPLPP_01243	K03742
AENJPLPP_01243	K03743
AENJPLPP_01244	K00995
AENJPLPP_01245	K15539
AENJPLPP_01248	K03282
AENJPLPP_01249	K02348
AENJPLPP_01251	K03088
AENJPLPP_01251	K03091
AENJPLPP_01251	K12296
AENJPLPP_01252	K06962
AENJPLPP_01253	K03218
AENJPLPP_01254	K11145
AENJPLPP_01255	K01883
AENJPLPP_01256	K00640
AENJPLPP_01257	K09698
AENJPLPP_01259	K04485
AENJPLPP_01260	K01520
AENJPLPP_01261	K00931
AENJPLPP_01262	K00147
AENJPLPP_01265	K08221
AENJPLPP_01266	K08221
AENJPLPP_01269	K18231
AENJPLPP_01275	K00661
AENJPLPP_01277	K03488
AENJPLPP_01278	K02802
AENJPLPP_01278	K02803
AENJPLPP_01278	K02804
AENJPLPP_01278	K20116
AENJPLPP_01278	K20117
AENJPLPP_01278	K20118
AENJPLPP_01280	K19267
AENJPLPP_01283	K13653
AENJPLPP_01285	K00854
AENJPLPP_01288	K00001
AENJPLPP_01288	K00344
AENJPLPP_01290	K01992
AENJPLPP_01290	K09694
AENJPLPP_01291	K01990
AENJPLPP_01291	K09695
AENJPLPP_01296	K01992
AENJPLPP_01297	K01990
AENJPLPP_01297	K19309
AENJPLPP_01303	K03466
AENJPLPP_01308	K00558
AENJPLPP_01309	K00558
AENJPLPP_01311	K07467
AENJPLPP_01313	K00986
AENJPLPP_01330	K07497
AENJPLPP_01336	K09815
AENJPLPP_01338	K02913
AENJPLPP_01340	K02911
AENJPLPP_01341	K02954
AENJPLPP_01342	K06147
AENJPLPP_01343	K06147
AENJPLPP_01344	K16926
AENJPLPP_01345	K16786
AENJPLPP_01345	K16787
AENJPLPP_01346	K16786
AENJPLPP_01346	K16787
AENJPLPP_01347	K16785
AENJPLPP_01351	K11704
AENJPLPP_01351	K19971
AENJPLPP_01351	K19975
AENJPLPP_01351	K19976
AENJPLPP_01352	K11705
AENJPLPP_01352	K19972
AENJPLPP_01352	K19976
AENJPLPP_01353	K11705
AENJPLPP_01353	K19972
AENJPLPP_01353	K19976
AENJPLPP_01355	K02074
AENJPLPP_01355	K09820
AENJPLPP_01355	K10830
AENJPLPP_01355	K11706
AENJPLPP_01355	K19973
AENJPLPP_01357	K02996
AENJPLPP_01358	K02871
AENJPLPP_01359	K04047
AENJPLPP_01360	K00851
AENJPLPP_01361	K02236
AENJPLPP_01361	K02654
AENJPLPP_01362	K07304
AENJPLPP_01362	K12267
AENJPLPP_01363	K01838
AENJPLPP_01364	K00865
AENJPLPP_01365	K04844
AENJPLPP_01365	K05342
AENJPLPP_01365	K21355
AENJPLPP_01369	K02026
AENJPLPP_01370	K02025
AENJPLPP_01371	K02027
AENJPLPP_01372	K00690
AENJPLPP_01373	K02529
AENJPLPP_01374	K03046
AENJPLPP_01375	K03043
AENJPLPP_01376	K01989
AENJPLPP_01377	K05832
AENJPLPP_01378	K05833
AENJPLPP_01379	K03524
AENJPLPP_01382	K00805
AENJPLPP_01382	K21275
AENJPLPP_01383	K00805
AENJPLPP_01385	K03885
AENJPLPP_01386	K20379
AENJPLPP_01387	K03734
AENJPLPP_01388	K02548
AENJPLPP_01389	K00383
AENJPLPP_01390	K08303
AENJPLPP_01391	K08303
AENJPLPP_01392	K03696
AENJPLPP_01393	K03708
AENJPLPP_01405	K01875
AENJPLPP_01406	K00088
AENJPLPP_01408	K06942
AENJPLPP_01410	K03497
AENJPLPP_01411	K03496
AENJPLPP_01412	K03501
AENJPLPP_01413	K03495
AENJPLPP_01414	K03650
AENJPLPP_01415	K03650
AENJPLPP_01417	K06346
AENJPLPP_01418	K03217
AENJPLPP_01419	K03536
AENJPLPP_01420	K02914
AENJPLPP_01421	K02313
AENJPLPP_01422	K02338
AENJPLPP_01423	K14761
AENJPLPP_01424	K03629
AENJPLPP_01425	K02470
AENJPLPP_01426	K02469
AENJPLPP_01427	K02990
AENJPLPP_01428	K03111
AENJPLPP_01429	K02963
AENJPLPP_01432	K02939
AENJPLPP_01433	K02314
AENJPLPP_01434	K01939
AENJPLPP_01438	K00158
AENJPLPP_01439	K07238
AENJPLPP_01447	K03671
AENJPLPP_01451	K02530
AENJPLPP_01451	K03436
AENJPLPP_01452	K01220
AENJPLPP_01452	K01223
AENJPLPP_01452	K05350
AENJPLPP_01453	K02759
AENJPLPP_01453	K02786
AENJPLPP_01454	K02787
AENJPLPP_01454	K02788
AENJPLPP_01455	K01224
AENJPLPP_01456	K01951
AENJPLPP_01457	K00867
AENJPLPP_01458	K00564
AENJPLPP_01459	K02529
AENJPLPP_01460	K00756
AENJPLPP_01461	K01619
AENJPLPP_01462	K01489
AENJPLPP_01463	K02058
AENJPLPP_01463	K07335
AENJPLPP_01464	K02056
AENJPLPP_01464	K06400
AENJPLPP_01465	K02057
AENJPLPP_01466	K02057
AENJPLPP_01467	K01839
AENJPLPP_01468	K00772
AENJPLPP_01468	K03783
AENJPLPP_01469	K03784
AENJPLPP_01470	K01834
AENJPLPP_01472	K01807
AENJPLPP_01473	K02950
AENJPLPP_01474	K02992
AENJPLPP_01475	K02355
AENJPLPP_01476	K02358
AENJPLPP_01477	K02946
AENJPLPP_01478	K02906
AENJPLPP_01479	K02926
AENJPLPP_01480	K02892
AENJPLPP_01481	K02886
AENJPLPP_01482	K02965
AENJPLPP_01483	K02890
AENJPLPP_01484	K02982
AENJPLPP_01485	K02878
AENJPLPP_01486	K02904
AENJPLPP_01487	K02961
AENJPLPP_01488	K02874
AENJPLPP_01489	K02895
AENJPLPP_01490	K02931
AENJPLPP_01491	K02954
AENJPLPP_01492	K02994
AENJPLPP_01493	K02933
AENJPLPP_01494	K02881
AENJPLPP_01495	K02988
AENJPLPP_01496	K02907
AENJPLPP_01497	K02876
AENJPLPP_01498	K03076
AENJPLPP_01499	K00939
AENJPLPP_01500	K02518
